start.ts,start._zone,start.loc.locale,start.loc.numberingSystem,start.loc.outputCalendar,start.loc.intl,start.loc.weekdaysCache.format,start.loc.weekdaysCache.standalone,start.loc.monthsCache.format,start.loc.monthsCache.standalone,start.loc.meridiemCache,start.loc.eraCache,start.loc.specifiedLocale,start.loc.fastNumbersCached,start.invalid,start.weekData,start.c.year,start.c.month,start.c.day,start.c.hour,start.c.minute,start.c.second,start.c.millisecond,start.o,start.isLuxonDateTime,end.ts,end._zone,end.loc.locale,end.loc.numberingSystem,end.loc.outputCalendar,end.loc.intl,end.loc.weekdaysCache.format,end.loc.weekdaysCache.standalone,end.loc.monthsCache.format,end.loc.monthsCache.standalone,end.loc.meridiemCache,end.loc.eraCache,end.loc.specifiedLocale,end.loc.fastNumbersCached,end.invalid,end.weekData,end.c.year,end.c.month,end.c.day,end.c.hour,end.c.minute,end.c.second,end.c.millisecond,end.o,end.isLuxonDateTime,profile_time,id,isRoot,service_name,trace_id,response_size,initiativeId,total_profile_time,total_events,total_response_size,requestedDays,requestHasAdId,query_payload.fields,ad_id_count,adset_id_count,query.partner_id
1555147563542.945,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,26,3,542,-420,true,1555147564531,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,26,4,531,-420,true,0.988054960034788,2354-7138,false,rhino,2354,193869,55026d16-a956-466d-a97f-c88c35e1972d,2.927786078013014,6,553119,14,true,null,undefined,undefined,null
1555147563509.2502,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,26,3,509,-420,true,1555147563535,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,26,3,535,-420,true,0.025749780994374,2354-7139,false,augment_view_response_with_impala,2354,undefined,55026d16-a956-466d-a97f-c88c35e1972d,2.927786078013014,6,553119,14,true,null,undefined,undefined,null
1555147562959.9727,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,26,2,959,-420,true,1555147563500,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,26,3,500,-420,true,0.540027284005191,2354-7140,false,impala,2354,550282,55026d16-a956-466d-a97f-c88c35e1972d,2.927786078013014,6,553119,14,true,"[""timestamp.ad.bid.amount.update"",""ad.bid.amount"",""ad.effective_status""]",3930,0,null
1555147561729.4458,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,26,1,729,-420,true,1555147562945,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,26,2,945,-420,true,1.215554232010618,2354-7141,false,rhino,2354,193869,55026d16-a956-466d-a97f-c88c35e1972d,2.927786078013014,6,553119,14,true,null,undefined,undefined,null
1555147560867.2026,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,26,0,867,-420,true,1555147560932,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,26,0,932,-420,true,0.064797416969668,2354-7142,false,mongoose,2354,undefined,55026d16-a956-466d-a97f-c88c35e1972d,2.927786078013014,6,553119,14,true,null,undefined,undefined,null
1555147560773.3977,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,26,0,773,-420,true,1555147560867,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,26,0,867,-420,true,0.093602403998375,2354-7143,false,mongoose,2354,undefined,55026d16-a956-466d-a97f-c88c35e1972d,2.927786078013014,6,553119,14,true,null,undefined,undefined,2d891b06-31e1-43ab-8e43-b959662c9f93
1555147486701.2844,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,24,46,701,-420,true,1555147489245,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,24,49,245,-420,true,2.543715647014324,2355-7144,false,rhino,2355,602836,55026d16-a956-466d-a97f-c88c35e1972d,7.072940760059282,6,1687092,31,true,null,undefined,undefined,null
1555147486582.7117,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,24,46,582,-420,true,1555147486679,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,24,46,679,-420,true,0.096288360015023,2355-7145,false,augment_view_response_with_impala,2355,undefined,55026d16-a956-466d-a97f-c88c35e1972d,7.072940760059282,6,1687092,31,true,null,undefined,undefined,null
1555147484904.2598,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,24,44,904,-420,true,1555147486548,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,24,46,548,-420,true,1.643740222032648,2355-7146,false,impala,2355,1671593,55026d16-a956-466d-a97f-c88c35e1972d,7.072940760059282,6,1687092,31,true,"[""ad.bid.amount"",""ad.effective_status"",""timestamp.ad.bid.amount.update""]",11880,0,null
1555147482203.7097,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,24,42,203,-420,true,1555147484850,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,24,44,850,-420,true,2.646290209027939,2355-7147,false,rhino,2355,602837,55026d16-a956-466d-a97f-c88c35e1972d,7.072940760059282,6,1687092,31,true,null,undefined,undefined,null
1555147479564.0327,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,24,39,564,-420,true,1555147479623,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,24,39,623,-420,true,0.058967312972527,2355-7148,false,mongoose,2355,undefined,55026d16-a956-466d-a97f-c88c35e1972d,7.072940760059282,6,1687092,31,true,null,undefined,undefined,null
1555147479480.061,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,24,39,480,-420,true,1555147479564,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,24,39,564,-420,true,0.083939008996822,2355-7149,false,mongoose,2355,undefined,55026d16-a956-466d-a97f-c88c35e1972d,7.072940760059282,6,1687092,31,true,null,undefined,undefined,2d891b06-31e1-43ab-8e43-b959662c9f93
1555146147005.53,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,2,27,5,-420,true,1555146149175,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,2,29,175,-420,true,2.169469975982793,2356-7150,false,rhino,2356,501754,55026d16-a956-466d-a97f-c88c35e1972d,5.568246057082433,6,1475729,5,true,null,undefined,undefined,null
1555146146932.9087,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,2,26,932,-420,true,1555146146987,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,2,26,987,-420,true,0.054091309022624,2356-7151,false,augment_view_response_with_impala,2356,undefined,55026d16-a956-466d-a97f-c88c35e1972d,5.568246057082433,6,1475729,5,true,null,undefined,undefined,null
1555146145836.894,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,2,25,836,-420,true,1555146146914,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,2,26,914,-420,true,1.07710604602471,2356-7152,false,impala,2356,1117641,55026d16-a956-466d-a97f-c88c35e1972d,5.568246057082433,6,1475729,5,true,"[""ad.bid.amount"",""timestamp.ad.bid.amount.update"",""ad.effective_status""]",7821,0,null
1555146143714.465,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,2,23,714,-420,true,1555146145802,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,2,25,802,-420,true,2.087535007041879,2356-7153,false,rhino,2356,501754,55026d16-a956-466d-a97f-c88c35e1972d,5.568246057082433,6,1475729,5,true,null,undefined,undefined,null
1555146142765.8323,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,2,22,765,-420,true,1555146142847,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,2,22,847,-420,true,0.081167610012926,2356-7154,false,mongoose,2356,undefined,55026d16-a956-466d-a97f-c88c35e1972d,5.568246057082433,6,1475729,5,true,null,undefined,undefined,null
1555146142666.1238,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,2,22,666,-420,true,1555146142765,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,2,22,765,-420,true,0.098876108997501,2356-7155,false,mongoose,2356,undefined,55026d16-a956-466d-a97f-c88c35e1972d,5.568246057082433,6,1475729,5,true,null,undefined,undefined,2d891b06-31e1-43ab-8e43-b959662c9f93
1555146112207.8767,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,1,52,207,-420,true,1555146114900,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,1,54,900,-420,true,2.692123289976735,2357-7156,false,rhino,2357,624720,55026d16-a956-466d-a97f-c88c35e1972d,6.6867339259479195,4,1827432,10,true,null,undefined,undefined,null
1555146112118.477,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,1,52,118,-420,true,1555146112188,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,1,52,188,-420,true,0.06952292000642,2357-7157,false,augment_view_response_with_impala,2357,undefined,55026d16-a956-466d-a97f-c88c35e1972d,6.6867339259479195,4,1827432,10,true,null,undefined,undefined,null
1555146110836.0518,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,1,50,836,-420,true,1555146112096,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,1,52,96,-420,true,1.259948153980076,2357-7158,false,impala,2357,1381161,55026d16-a956-466d-a97f-c88c35e1972d,6.6867339259479195,4,1827432,10,true,"[""timestamp.ad.bid.amount.update"",""ad.bid.amount"",""ad.effective_status""]",9665,0,null
1555146108104.8604,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,1,48,104,-420,true,1555146110770,{},en,null,null,en,{},{},{},{},null,{},null,null,null,null,2019,4,13,2,1,50,770,-420,true,2.665139561984688,2357-7159,false,rhino,2357,624720,55026d16-a956-466d-a97f-c88c35e1972d,6.6867339259479195,4,1827432,10,true,null,undefined,undefined,null
